cid,code_name
200607-1,
200607-3,
200608-10,
200608-12,
200608-13,
200608-8,
200608-9,
200609-29,
200612-65,
200612-66,
200612-70,
200612-71,
200702-79,
200705-83,
200708-156,
200708-95,
200712-180,
200712-181,
200712-182,
200712-183,
200712-184,
200712-185,
200712-186,
200712-188,
200712-189,
200712-190,Validation lab
200712-191,Validation lab
200712-192,
200712-193,
200712-194,
200712-195,
200712-196,
200712-197,
200712-198,
200712-199,
200712-200,Validation lab
200712-201,
200712-202,
200712-203,
200712-207,
200801-212,
200801-217,Eland Pedestal
200802-220,
200802-221,
200802-222,
200804-253,
200804-254,
200804-255,
200804-257,
200804-258,
200804-259,
200804-260,Support team
200804-261,
200804-263,
200804-264,
200804-265,
200804-266,
200804-267,
200805-503,
200805-581,
200808-813,
200809-825,Hepburn
200810-1110,
200810-1111,
200810-1112,
200810-1113,
200810-1115,
200810-1116,
200810-1117,
200810-1118,
200811-1152,
200811-1231,
200901-1471,
200902-1623,
200902-1663,
200903-1691,
200903-2010,
200903-2011,
200903-2012,
200903-2013,
200903-2014,
200903-2140,
200903-2141,
200905-2781,
200905-2911,
200906-2958,
200907-3171,
200907-3172,
200907-3173,
200907-3393,
200907-3394,
200908-3469,
200908-3472,
200908-3473,
200908-3474,Harbour
200908-3475,Inspiron 910
200908-3476,
200908-3477,
200908-3521,Obiwan
200908-3578,Hasek USFF (Neo)
200909-3595,Mini Bixby
200909-4092,Comiskey
200910-4237,
200910-4251,
200910-4252,Roberts (ATI)
200910-4253,
200910-4254,Half Penny Bridge
200910-4255,Half Penny Bridge
200910-4256,Jolie
200910-4293,
200910-4491,Stonecutter
200910-4493,Hasek C2
200910-4520,
200910-4539,
200910-4540,
200910-4541,
200910-4542,
200910-4543,
200911-4633,Roberts (Intel)
200911-4831,Welchs
200911-4832,Westlake
200912-4895,
200912-4896,
200912-4897,
200912-4906,
201001-4955,
201001-4957,
201001-4959,
201001-4961,
201001-5045,
201001-5046,
201001-5047,
201001-5167,
201002-5333,
201002-5345,
201002-5346,
201002-5397,
201003-5427,
201003-5428,
201003-5429,
201003-5442,
201003-5443,
201003-5444,
201003-5445,
201003-5446,
201003-5447,
201003-5448,
201003-5449,
201003-5450,
201003-5451,
201003-5452,
201003-5463,
201003-5465,
201004-5570,Latitude dom 3110 SU 3500
201004-5571,"winery14  -  Vostro 3400 14"" C1"
201004-5572,Vostro NB/DT ryu V13 SU 7300
201004-5573,Latitude dom 3110 SU 7300
201004-5574,"winery15  -  Vostro 3500 15"" C1"
201004-5575,Vostro NB/DT ryu V13 SU 3500
201004-5576,"winery13  -  Vostro 3300 13"" C1"
201004-5577,Latitude dom 3110 SU 743
201004-5578,Vostro NB/DT ryu 743
201004-5579,"winery17  -  Vostro 3700 17"" (config 5)"
201004-5590,Precision Ecco T1500
201004-5591,Vostro NB/DT Shenyang V430
201004-5592,Inspiron skywalker 580/580s
201004-5593,Optiplex Wembley 980
201004-5594,Vostro NB/DT jetli 230
201004-5597,Optiplex XE SFF Telstra SFF XE
201004-5600,Jaguar
201004-5601,Precision Reebok (Arrandale)
201005-5611,jaguar
201005-5612,Jaguar
201005-5725,
201005-5771,Telstra
201005-5775,Optiplex Testra XE
201006-5798,
201006-5799,
201006-5800,
201006-5801,
201006-5930,
201007-6359,Manzanita
