cid,code_name
201004-5597,Optiplex XE SFF Telstra SFF XE
201005-5771,Telstra
201009-6529,Dole
201011-6836,Macallan
201011-6842,Macallan
201011-6843,Macallan
201012-6925,Macallan
201012-6926,Macallan
201012-6934,Macallan
201101-6947,Macallan 14
201101-6955,Macallan
201103-7416,North Shore
201103-7454,Guandu
201103-7458,
201104-7598,Patron
201104-7736,Enrico14AMD
201104-7783,Enrico15 intel Arrandale
201104-7784,Patron
201104-7785,Enrico15AMD
201104-7889,Caruso 14 Intel SNB
201104-7890,Caruso 14 Intel SNB
201104-7891,Enrico 14 Intel SNB
201104-7938,Enrico 14 Intel SNB
201105-7956,Danshuei
201105-8042,Queen 15 AMD
201105-8043,Queen 15 AMD
201105-8044,Queen 14 AMD
201105-8045,Nivara 15 AMD
201105-8046,Caruso 14intel Arrandale
201105-8047,Caruso 14intel Arrandale
201105-8048,Jones
201105-8049,Jones
201105-8050,Jones
201105-8051,Norah
201105-8052,Norah
201105-8053,Norah
201105-8077,Caruso 15 Intel SNB
201105-8078,Caruso 15 Intel Arrandale
201105-8079,Enrico 15 Intel SNB
201106-8234,
201106-8236,
201106-8240,
201107-8317,
201108-8338,Daxing
201108-8941,Daxing
201108-8942,Daxing
201109-9788,Negril
201109-9789,Little Sur
201109-9790,Big Sur
201110-10073,Beitou
201110-9891,Beitou
201111-10169,Beitou
201111-10180,
201111-10181,
201112-10226,
201112-10227,
201112-10228,
201112-10283,Xinbeitou
201201-10338,Dalmore 14 ATG
201201-10339,Dalmore 15
201201-10354,Xinbeitou
201201-10355,Xinbeitou
201201-10357,Pebble Beach
201201-10358,Pebble Beach
201201-10370,Pine Valley
201201-10371,Sunrise
201201-10372,Dalmore 14
201201-10376,Comoros
201201-10377,Audi 15 Intel
201201-10378,Audi 15 Intel
201201-10380,Lanikai Core
201201-10381,Lanikai Core
201201-10382,Lanikai Core
201201-10383,Lanikai 7
201201-10384,Lanikai 7
201201-10392,Palm Beach MLK
201201-10393,Palm Beach MLK
201201-10396,Eagleton
201201-10397,Eagleton
201201-10398,Mission Hill
201201-10399,Sawgrass
201202-10402,Mercedes 15 Intel
201202-10403,Audi 17 Intel
201202-10404,Audi 17 Intel
201202-10508,Audi 14 Intel
201202-10509,Audi 14 Intel
201202-10511,Audi 14 Intel
201202-10527,Mercedes 14 Intel
201202-10530,Mercedes-14-Intel
201202-10546,Korbel 15
201202-10547,Korbel 15
201202-10548,Korbel 14
201202-10549,Korbel 14
201202-10550,Korbel 14
201202-10551,Dalmore 12
201202-10552,Dalmore 14
201202-10555,Olympic
201202-10556,Lanikai AIO
201202-10557,Enrico 15 MLK
201202-10558,Caruso 15 MLK
201202-10559,Dalmore 13
201202-10589,Enrico 14 MLK
201202-10590,Enrico 14 MLK
201202-10591,Enrico 14 MLK
201202-10592,Caruso 14 MLK
201202-10593,Caruso 14 MLK
201202-10605,Mercedes 15 Intel
201202-10606,Audi 17 Turbo
201203-10655,Audi 13 Intel
201203-10656,Audi 13 Intel
201203-10657,Mercedes 13 Intel
201203-10658,Mercedes 13
201203-10659,Dalmore 14 Lite
201203-10664,Audi 14 Turbo
201203-10678,Audi 15 Turbo
201203-10685,
201203-10687,Yanshui
201203-10689,Yanshui
201203-10695,Yanshui
201203-10696,
201203-10697,
201204-10892,Stella-Sapporo AIO CedarTrail
201205-11017,stella-asahi
201205-11041,Vans 17
201205-11042,Vans 17
201205-11048,Vans 15
201205-11049,Vans 15
201205-11050,Vans 15
201205-11051,Vans 17
201206-11159,Stella-Heineken
201206-11161,Stella-Heineken
201206-11167,kobe4
201206-11169,KOBE
201206-11376,Anding
201206-11379,Anding
201206-11382,Anding
201206-11383,Anding
201206-11385,Anding
201206-11387,Anding
201206-11393,AUDI-15-AMD
201206-11394,AUDI-15-AMD
201206-11396,Stella-Heineken
201206-11401,Stella-Heineken
201206-11404,Stella-heineken
201206-11407,Stella-Heineken
201206-11409,AMD A75 FCH
201206-11418,Audi 14 AMD
201207-11419,
201207-11420,
201208-11455,BMW Z4
201208-11456,BMW Z4
201208-11457,BMW Z4
201208-11458,BMW Z4
201208-11512,
201208-11513,
201208-11515,Annan
201208-11519,Annan
201208-11520,Madao
201208-11521,Madao
201208-11536,Feidao
201208-11537,Feidao
201208-11540,OAK 15 Intel
201208-11618,Stella-Heineken
201208-11619,Stella-Heineken
201209-11624,
201209-11625,
201209-11628,
201209-11633,Osaka 3
201209-11634,Stella-Osaka
201209-11638,
201209-11640,
201209-11641,
201209-11643,
201209-11722,
201209-11726,osaka20
201209-11728,Stella-Osaka
201209-11730,Stella-Osaka
201209-11731,
201209-11735,
201209-11781,Anding
201209-11782,Anding
201209-11783,Anding
201209-11784,Andromeda R1
201209-11785,
201209-11786,Stella-Osaka
201209-11787,
201209-11789,
201209-11790,Stella-Osaka
201209-11793,
201209-11816,
201209-11840,Spyder-MLK
201210-11859,
201210-11903,Annan
201210-12053,
201210-12054,
201210-12055,
201211-12080,
201211-12081,
201211-12082,
201212-12224,
201212-12225,
201212-12226,
201212-12227,
